# student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,age,gender,grade_level,parental_education_level,socio_economic_status,internet_access_home,study_hours_per_day,test_preparation_course,homework_completion_rate,group_study,use_online_resources,previous_term_gpa,class_participation_score,extracurricular_activities,screen_time_hours,social_media_hours,absences,health_status,stress_level,sleep_quality,mental_health_support
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
51,3.1,5.6,77.9,63.7,68.0,16,female,10,bachelors,2,0,0.8,none,71.6,0,0,2.27,1,0,7.0,4.8,10,1,5,1,0
52,5.1,6.6,88.5,76.4,81.8,15,male,9,high school,1,1,1.5,none,83.1,1,1,2.85,3,0,4.5,2.6,6,3,4,3,1
53,7.2,7.7,95.8,88.0,91.6,17,female,11,university graduate,3,1,2.6,completed,94.5,1,1,3.63,5,1,2.9,1.7,1,5,2,5,0
54,4.9,6.5,88.4,76.0,80.8,16,male,10,high school,2,1,1.7,none,84.0,0,0,2.82,2,0,4.5,2.6,5,3,4,3,0
55,6.7,7.3,93.5,84.1,88.9,16,female,10,bachelors,3,1,2.4,completed,90.6,1,1,3.46,4,1,3.0,1.8,2,4,3,4,0
56,8.3,8.1,98.9,93.5,96.0,17,male,11,masters,4,1,3.4,completed,97.8,0,1,3.91,5,1,2.5,1.3,1,5,1,5,1
57,3.5,5.8,79.6,65.5,69.9,15,female,9,high school,1,0,1.0,none,73.8,0,0,2.35,1,0,6.8,4.6,8,2,5,2,0
58,5.8,7.1,91.2,80.3,85.7,16,male,10,university graduate,3,1,1.9,completed,88.2,1,1,3.23,4,1,3.4,2.0,3,4,3,4,0
59,7.5,7.9,97.2,89.3,92.9,17,female,11,bachelors,3,1,2.7,completed,95.2,0,1,3.70,5,1,2.7,1.5,2,5,2,5,0
60,4.2,6.0,84.1,70.2,74.9,16,male,10,high school,2,1,1.3,none,80.4,1,0,2.62,3,0,4.9,3.1,6,3,4,3,0
61,6.5,7.2,92.8,83.2,87.8,15,female,9,masters,4,1,2.2,completed,89.5,1,1,3.40,4,1,3.1,1.9,3,4,3,4,1
62,8.0,8.0,98.2,91.0,94.2,17,male,11,masters,4,1,3.1,completed,96.4,0,1,3.83,5,1,2.6,1.4,0,5,1,5,0
63,3.7,5.9,80.7,66.6,71.0,16,female,10,bachelors,2,0,1.1,none,74.5,0,0,2.40,2,0,6.5,4.3,7,2,5,2,0
64,5.4,6.8,89.9,78.3,83.7,16,male,10,high school,2,1,1.7,none,85.3,1,1,2.93,3,0,4.3,2.4,4,3,4,3,0
65,7.4,7.8,96.6,88.4,92.2,17,female,11,university graduate,3,1,2.6,completed,94.7,1,1,3.66,5,1,2.8,1.6,1,5,2,5,1
66,4.7,6.3,87.0,74.6,79.4,15,male,9,high school,1,1,1.6,none,82.9,0,0,2.76,2,0,4.7,2.8,5,3,4,3,0
67,6.1,7.0,91.5,81.1,86.5,16,female,10,bachelors,3,1,2.1,completed,87.9,1,1,3.35,4,1,3.2,1.9,3,4,3,4,0
68,8.7,8.5,99.9,95.8,97.6,17,male,11,masters,4,1,3.8,completed,99.5,0,1,4.00,5,1,2.1,1.0,0,5,1,5,0
69,3.3,5.7,78.8,64.3,68.7,16,female,10,high school,1,0,0.9,none,72.4,0,0,2.28,1,0,7.1,4.9,9,1,5,1,0
70,5.2,6.7,88.8,76.9,82.3,15,male,9,university graduate,3,1,1.6,none,83.7,1,1,2.88,3,1,4.4,2.5,5,3,4,3,1
71,7.3,7.7,95.9,87.8,91.4,17,female,11,bachelors,3,1,2.5,completed,94.2,1,1,3.62,5,1,2.9,1.7,2,5,2,5,0
72,4.5,6.2,85.7,72.1,76.8,16,male,10,high school,2,1,1.5,none,81.2,0,0,2.71,3,0,4.8,2.9,4,3,4,3,0
73,6.9,7.4,94.1,85.0,89.6,16,female,10,masters,4,1,2.4,completed,91.3,1,1,3.48,4,1,3.0,1.8,3,4,3,4,0
74,8.2,8.1,98.6,92.7,95.3,17,male,11,masters,4,1,3.3,completed,97.6,0,1,3.89,5,1,2.5,1.3,1,5,1,5,1
75,3.8,6.0,81.4,67.4,71.8,15,female,9,bachelors,2,0,1.1,none,75.2,0,0,2.41,1,0,6.4,4.2,8,2,5,2,0
76,5.9,7.2,91.9,80.8,86.2,16,male,10,high school,2,1,2.0,completed,88.6,1,1,3.24,4,1,3.3,2.0,2,4,3,4,0
77,7.6,8.0,97.3,89.5,93.0,17,female,11,university graduate,3,1,2.8,completed,95.6,0,1,3.72,5,1,2.7,1.5,1,5,2,5,0
78,4.1,6.1,83.9,69.9,74.6,16,male,10,bachelors,2,1,1.3,none,80.1,1,0,2.63,2,0,5.0,3.2,6,3,4,3,0
79,6.4,7.1,92.5,82.8,87.4,15,female,9,masters,4,1,2.2,completed,89.2,1,1,3.39,4,1,3.1,1.9,3,4,3,4,1
80,8.4,8.3,99.4,94.3,96.7,17,male,11,masters,4,1,3.5,completed,98.1,0,1,3.93,5,1,2.4,1.2,0,5,1,5,0
81,3.9,5.9,80.8,66.9,71.2,16,female,10,high school,1,0,1.0,none,74.2,0,0,2.38,2,0,6.6,4.4,7,2,5,2,0
82,5.5,6.9,90.1,78.7,84.2,16,male,10,university graduate,3,1,1.8,none,85.6,1,1,2.95,3,0,4.3,2.4,4,3,4,3,0
83,7.1,7.8,96.2,87.7,91.9,17,female,11,bachelors,3,1,2.5,completed,94.3,1,1,3.64,5,1,2.8,1.6,2,5,2,5,1
84,4.6,6.4,86.6,73.8,78.5,15,male,9,high school,2,1,1.5,none,82.0,0,0,2.73,2,0,4.7,2.8,5,3,4,3,0
85,6.3,7.0,91.7,81.9,86.7,16,female,10,university graduate,3,1,2.1,completed,88.0,1,1,3.36,4,1,3.2,1.9,3,4,3,4,0
86,8.5,8.2,99.6,95.0,97.1,17,male,11,masters,4,1,3.6,completed,98.9,0,1,3.96,5,1,2.3,1.1,0,5,1,5,0
87,3.2,5.7,78.2,63.9,68.3,16,female,10,bachelors,2,0,0.9,none,72.0,0,0,2.26,1,0,7.0,4.8,9,1,5,1,0
88,5.3,6.8,89.3,77.5,82.9,15,male,9,high school,1,1,1.6,none,84.0,1,1,2.87,3,0,4.4,2.5,6,3,4,
